中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,984 Mbps,125952 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,57 ms,293 Mbps,37580 kB/s
47.254.42.167,443,47.251.149.55,US,San Jose,隧道,52 ms,3 Mbps,424 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,383 Mbps,49049 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,25 ms,642 Mbps,82227 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,435 Mbps,55705 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,40 Mbps,5165 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,79 ms,509 Mbps,65228 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,32 ms,65 Mbps,8389 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,361 Mbps,46284 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,408 Mbps,52224 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,32 ms,328 Mbps,42086 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,57 ms,436 Mbps,55808 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,80 ms,30 Mbps,3913 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,48 ms,402 Mbps,51507 kB/s
35.197.23.75,443,35.230.48.200,US,Seattle,隧道,116 ms,414 Mbps,53043 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,60 ms,430 Mbps,55091 kB/s
35.230.79.26,443,35.230.48.200,US,Seattle,隧道,146 ms,449 Mbps,57548 kB/s
138.2.227.94,443,138.2.227.94,US,San Jose,中转,63 ms,49 Mbps,6364 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,204 Mbps,26214 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,380 Mbps,48742 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,144 Mbps,18432 kB/s
192.9.158.188,443,2a09:bac5:6440:1232::1d0:c3,US,San Jose,隧道,52 ms,201 Mbps,25804 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,47 ms,54 Mbps,7015 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,102 ms,39 Mbps,5114 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,174 Mbps,22323 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,141 ms,111 Mbps,14233 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,152 Mbps,19558 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,101 ms,48 Mbps,6199 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,69 ms,360 Mbps,46182 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,114 ms,41 Mbps,5287 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,107 ms,96 Mbps,12390 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,101 ms,33 Mbps,4297 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,240 ms,126 Mbps,16179 kB/s
141.148.224.37,443,2a0b:21c0:1007:c8:0:36e0:5a3b:dd66,DE,Frankfurt,隧道,106 ms,139 Mbps,17817 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,106 ms,171 Mbps,21913 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,137 ms,192 Mbps,24576 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,77 ms,0 Mbps,54 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,114 ms,195 Mbps,24985 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,188 Mbps,24064 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,99 ms,99 Mbps,12697 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,104 ms,25 Mbps,3275 kB/s
132.226.135.38,443,2a0b:21c0:100a:1b0:0:c215:dfcf:d2c8,DE,Düsseldorf,隧道,233 ms,102 Mbps,13107 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,123 Mbps,15769 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,105 ms,184 Mbps,23654 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,100 ms,31 Mbps,4027 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,107 ms,90 Mbps,11571 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,173 ms,41 Mbps,5331 kB/s
158.180.79.198,443,158.180.79.198,KR,Seoul,中转,171 ms,82 Mbps,10547 kB/s
