中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,27 ms,632 Mbps,80998 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,253 Mbps,32460 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,89 ms,242 Mbps,31027 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,69 ms,290 Mbps,37171 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,46 ms,381 Mbps,48844 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,301 Mbps,38604 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,61 ms,376 Mbps,48128 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,74 ms,195 Mbps,24985 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,74 ms,285 Mbps,36556 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,88 ms,206 Mbps,26419 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,261 Mbps,33484 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,260 Mbps,33280 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,316 Mbps,40448 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,21 ms,671 Mbps,85913 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,81 ms,46 Mbps,5903 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,45 Mbps,5833 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,132 Mbps,16896 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,95 ms,199 Mbps,25497 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,94 ms,41 Mbps,5347 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,82 ms,225 Mbps,28876 kB/s
47.88.93.96,443,47.251.149.54,US,San Jose,隧道,69 ms,3 Mbps,429 kB/s
15.237.100.249,443,2a05:d012:7ab:4b00:2494:3988:c43b:fdc6,FR,Paris,隧道,86 ms,216 Mbps,27750 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,80 ms,232 Mbps,29696 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,223 Mbps,28569 kB/s
132.226.31.178,443,2a09:bac5:60ee:183c::26a:24,US,Los Angeles,隧道,65 ms,45 Mbps,5812 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,78 ms,263 Mbps,33689 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,64 ms,47 Mbps,6101 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,77 ms,295 Mbps,37785 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,95 ms,45 Mbps,5870 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,91 ms,45 Mbps,5794 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,74 ms,7 Mbps,935 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,69 ms,277 Mbps,35532 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,216 Mbps,27648 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,89 ms,103 Mbps,13209 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,102 ms,47 Mbps,6034 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,270 Mbps,34611 kB/s
138.2.132.30,443,2606:f240:f00:a683:0:84a2:e0c7:5ade,US,Frankfurt,隧道,89 ms,231 Mbps,29593 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,239 ms,110 Mbps,14131 kB/s
141.147.92.143,443,2603:c020:c004:772b:9990:35f2:2b42:33dd,GB,Amsterdam,隧道,80 ms,243 Mbps,31129 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,120 ms,240 Mbps,30720 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,66 ms,300 Mbps,38400 kB/s
152.69.197.102,443,152.69.197.102,JP,Osaka,中转,201 ms,34 Mbps,4444 kB/s
47.253.104.12,443,47.251.149.52,US,San Jose,隧道,74 ms,2 Mbps,339 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,244 ms,35 Mbps,4589 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,119 ms,144 Mbps,18534 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,210 ms,32 Mbps,4217 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,198 ms,84 Mbps,10854 kB/s
150.230.238.226,443,150.230.238.226,IN,Mumbai,中转,185 ms,77 Mbps,9873 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,106 ms,18 Mbps,2382 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,89 ms,42 Mbps,5382 kB/s
144.21.53.157,443,2a09:bac5:3803:d2::15:1b6,GB,London,隧道,78 ms,19 Mbps,2541 kB/s
47.89.182.61,443,47.251.149.53,US,San Jose,隧道,104 ms,3 Mbps,390 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,204 ms,74 Mbps,9599 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,219 ms,0 Mbps,115 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,301 ms,62 Mbps,8004 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,179 ms,37 Mbps,4803 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,210 ms,6 Mbps,816 kB/s
138.2.84.189,443,104.28.254.46,SG,Singapore,隧道,218 ms,56 Mbps,7291 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,184 ms,77 Mbps,9888 kB/s
138.2.51.87,443,138.2.51.87,JP,Osaka,中转,202 ms,33 Mbps,4227 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,185 ms,71 Mbps,9119 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,283 kB/s
152.70.88.98,443,2a09:bac5:4752:1a14::299:56,KR,Seoul,隧道,187 ms,30 Mbps,3888 kB/s
150.230.106.97,443,150.230.106.97,JP,Tokyo,中转,211 ms,31 Mbps,3979 kB/s
8.216.88.20,443,47.251.149.53,US,San Jose,隧道,170 ms,2 Mbps,322 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,205 ms,0 Mbps,25 kB/s
8.211.197.133,443,47.251.149.52,US,San Jose,隧道,79 ms,2 Mbps,324 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,217 ms,57 Mbps,7404 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,204 ms,31 Mbps,4012 kB/s
132.226.225.193,443,2602:ffe4:407:20da:0:7047:1e9c:4ded,SG,Singapore,隧道,246 ms,48 Mbps,6224 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,381 ms,33 Mbps,4306 kB/s
8.209.77.140,443,47.251.149.49,US,San Jose,隧道,94 ms,2 Mbps,356 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,206 ms,72 Mbps,9229 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,187 ms,0 Mbps,84 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,202 ms,2 Mbps,366 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,75 ms,0 Mbps,71 kB/s
47.242.72.208,443,47.242.72.208,HK,Hong Kong,中转,1218 ms,21 Mbps,2794 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,212 ms,14 Mbps,1834 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,204 ms,4 Mbps,529 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,219 ms,0 Mbps,29 kB/s
