中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,189 Mbps,24268 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,21 ms,984 Mbps,125952 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,391 Mbps,50073 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,54 ms,399 Mbps,51097 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,56 ms,276 Mbps,35430 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,22 ms,328 Mbps,41984 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,11 ms,597 Mbps,76492 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,59 ms,398 Mbps,50995 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,50 ms,316 Mbps,40448 kB/s
192.9.138.241,443,192.9.138.241,369 Mbps,47308 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,54 ms,9 Mbps,1155 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,51 ms,448 Mbps,57446 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,96 ms,48 Mbps,6222 kB/s
143.47.184.133,443,98.98.166.178,US,Frankfurt,隧道,108 ms,139 Mbps,17817 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,181 ms,403 Mbps,51609 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,404 Mbps,51814 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,63 ms,2 Mbps,259 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,53 ms,102 Mbps,13107 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,57 ms,452 Mbps,57958 kB/s
152.67.44.30,443,152.67.44.30,BR,São Paulo,中转,133 ms,43 Mbps,5572 kB/s
158.101.193.246,443,2606:f240:f00:dd8d:0:5dec:4797:4e9c,US,Frankfurt,隧道,108 ms,113 Mbps,14540 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,61 ms,268 Mbps,34406 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,44 Mbps,5709 kB/s
192.9.158.188,443,2a09:bac5:6443:1246::1d2:85,US,San Jose,隧道,77 ms,202 Mbps,25907 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,211 Mbps,27033 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,174 Mbps,22323 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,347 Mbps,44441 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,101 ms,184 Mbps,23654 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,109 ms,40 Mbps,5246 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,54 ms,410 Mbps,52531 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,80 ms,382 Mbps,48947 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,169 ms,41 Mbps,5374 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,133 ms,120 Mbps,15360 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,168 Mbps,21606 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,112 Mbps,14336 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,169 ms,44 Mbps,5637 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,114 ms,50 Mbps,6412 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,170 ms,100 Mbps,12902 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,355 kB/s
47.242.72.208,443,47.242.72.208,HK,Hong Kong,中转,189 ms,5 Mbps,757 kB/s
