中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,52 ms,439 Mbps,56217 kB/s
35.197.23.75,443,35.203.190.52,US,Seattle,隧道,51 ms,416 Mbps,53350 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,66 ms,124 Mbps,15974 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,741 Mbps,94924 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,51 ms,403 Mbps,51609 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,52 ms,49 Mbps,6298 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,96 ms,423 Mbps,54169 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,424 Mbps,54272 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,52 ms,1 Mbps,248 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,115 ms,59 Mbps,7592 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,76 ms,439 Mbps,56217 kB/s
141.144.237.206,443,2a0b:21c0:100a:1f9:0:2c55:352b:c512,DE,Frankfurt,隧道,107 ms,103 Mbps,13209 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,99 ms,539 Mbps,69017 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,52 ms,230 Mbps,29491 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,46 Mbps,5986 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,107 ms,176 Mbps,22528 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,51 ms,38 Mbps,4978 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,132 ms,328 Mbps,42086 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,43 Mbps,5626 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,51 ms,307 Mbps,39321 kB/s
192.18.140.39,443,192.18.140.39,US,San Jose,中转,51 ms,46 Mbps,5939 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,34 ms,252 Mbps,32358 kB/s
143.47.255.172,443,2a0b:21c0:100a:1b6:0:c54a:dc30:34e7,DE,Frankfurt,隧道,116 ms,96 Mbps,12288 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,178 Mbps,22835 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,55 ms,363 Mbps,46489 kB/s
158.180.79.198,443,158.180.79.198,KR,Seoul,中转,170 ms,88 Mbps,11366 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,298 kB/s
138.3.254.39,443,138.3.254.39,162 Mbps,20787 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,194 ms,33 Mbps,4335 kB/s
