中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,28 ms,690 Mbps,88371 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,59 ms,49 Mbps,6381 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,236 Mbps,30208 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,1 ms,372 Mbps,47718 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,24 ms,696 Mbps,89190 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,269 Mbps,34508 kB/s
192.9.138.241,443,192.9.138.241,US,272 Mbps,34918 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,216 Mbps,27750 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,661 Mbps,84684 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,66 ms,319 Mbps,40857 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,45 Mbps,5837 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,62 ms,334 Mbps,42803 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,208 Mbps,26726 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,58 ms,30 Mbps,3923 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,84 ms,49 Mbps,6370 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,63 ms,358 Mbps,45875 kB/s
138.3.254.39,443,138.3.254.39,DE,227 Mbps,29081 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,32 ms,75 Mbps,9679 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,48 ms,62 Mbps,7989 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,81 ms,240 Mbps,30822 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,58 ms,20 Mbps,2587 kB/s
141.147.4.99,443,2a0b:21c0:100a:1fa:0:9d58:7966:ca66,DE,Frankfurt,隧道,89 ms,125 Mbps,16076 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,121 ms,329 Mbps,42188 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,45 ms,7 Mbps,922 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,27 ms,98 Mbps,12595 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,282 Mbps,36147 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,80 ms,250 Mbps,32051 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,113 ms,415 Mbps,53145 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,89 ms,318 Mbps,40755 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,77 ms,8 Mbps,1043 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,94 ms,47 Mbps,6043 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,62 ms,19 Mbps,2501 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,90 ms,48 Mbps,6264 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,67 ms,44 Mbps,5692 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,122 ms,157 Mbps,20172 kB/s
