中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,48 ms,491 Mbps,62873 kB/s
129.146.46.164,443,129.146.46.164,2 Mbps,294 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,48 ms,444 Mbps,56832 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,481 Mbps,61644 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,442 Mbps,56627 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,382 Mbps,48947 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,57 ms,518 Mbps,66355 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,52 ms,6 Mbps,820 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,100 ms,47 Mbps,6089 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,187 Mbps,23961 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,196 Mbps,25088 kB/s
144.21.35.132,443,2606:f240:f00:2be4:0:bf45:a60f:3c82,US,Munich,隧道,115 ms,148 Mbps,18944 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,229 Mbps,29388 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,153 ms,43 Mbps,5542 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,153 ms,145 Mbps,18636 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,134 Mbps,17203 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,116 ms,43 Mbps,5618 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,153 ms,39 Mbps,5109 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,39 Mbps,5034 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,32 Mbps,4163 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,226 ms,0 Mbps,119 kB/s
