中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,56 ms,29 Mbps,3735 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,69 ms,682 Mbps,87347 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,506 Mbps,64819 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,83 ms,25 Mbps,3287 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,282 Mbps,36147 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,332 Mbps,42496 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,72 ms,298 Mbps,38195 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,395 Mbps,50585 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,281 Mbps,36044 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,120 ms,203 Mbps,26009 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,85 ms,42 Mbps,5428 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,41 Mbps,5278 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,229 Mbps,29388 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,72 ms,0 Mbps,104 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,249 Mbps,31948 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,77 ms,321 Mbps,41164 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,119 ms,100 Mbps,12902 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,221 Mbps,28364 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,96 ms,122 Mbps,15667 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,68 ms,7 Mbps,971 kB/s
144.21.40.206,443,98.98.166.58,AE,Frankfurt,隧道,89 ms,148 Mbps,19046 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,132 ms,42 Mbps,5422 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,212 Mbps,27136 kB/s
129.159.37.229,443,129.159.37.229,US,San Jose,中转,77 ms,44 Mbps,5732 kB/s
