中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,12 ms,5 Mbps,739 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,780 Mbps,99942 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,361 Mbps,46284 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,70 ms,392 Mbps,50176 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,357 Mbps,45772 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,271 Mbps,34713 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,208 Mbps,26726 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,95 ms,44 Mbps,5692 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,264 Mbps,33894 kB/s
143.47.176.251,443,2606:f240:f00:b2ed:0:ad70:1b03:d9b3,US,Munich,隧道,98 ms,248 Mbps,31744 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,266 Mbps,34099 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,51 Mbps,6580 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,98 ms,49 Mbps,6284 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,161 ms,150 Mbps,19251 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,177 ms,141 Mbps,18124 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,42 Mbps,5473 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,170 ms,42 Mbps,5388 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,35 Mbps,4602 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,234 ms,11 Mbps,1516 kB/s
8.219.179.34,443,47.245.114.12,SG,Singapore,隧道,245 ms,22 Mbps,2862 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,236 ms,20 Mbps,2667 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,197 ms,65 Mbps,8371 kB/s
