中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,7 ms,136 Mbps,17510 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,100 ms,296 Mbps,37990 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,90 ms,40 Mbps,5206 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,580 Mbps,74342 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,18 ms,50 Mbps,6433 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,84 ms,320 Mbps,40960 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,7 ms,3 Mbps,400 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,192 Mbps,24678 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,105 ms,202 Mbps,25907 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,87 ms,37 Mbps,4863 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,364 Mbps,46694 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,96 ms,176 Mbps,22630 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,65 ms,352 Mbps,45056 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,83 ms,339 Mbps,43417 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,201 ms,127 Mbps,16281 kB/s
158.101.192.233,443,2a0b:21c0:100a:1b1:0:febd:515:aa1f,DE,Frankfurt,隧道,102 ms,139 Mbps,17817 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,77 ms,208 Mbps,26624 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,111 Mbps,14233 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,81 ms,39 Mbps,5000 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,33 ms,553 Mbps,70860 kB/s
144.21.41.185,443,2a0b:21c0:100a:1b5:0:90fb:b93e:4492,DE,Frankfurt,隧道,96 ms,240 Mbps,30720 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,77 ms,261 Mbps,33484 kB/s
150.230.113.136,443,98.98.166.178,US,Frankfurt,隧道,97 ms,234 Mbps,30003 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,62 ms,414 Mbps,53043 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,281 Mbps,36044 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,103 ms,269 Mbps,34508 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,102 ms,236 Mbps,30208 kB/s
144.21.56.205,443,2606:f240:f00:83a7:0:614a:ca2a:af4c,US,Frankfurt,隧道,102 ms,206 Mbps,26419 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,196 ms,26 Mbps,3438 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,188 ms,36 Mbps,4608 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,189 ms,35 Mbps,4529 kB/s
193.122.109.208,443,217.142.149.56,KR,Seoul,隧道,182 ms,96 Mbps,12390 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,89 ms,46 Mbps,5992 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,212 ms,37 Mbps,4763 kB/s
8.212.44.95,443,47.76.21.93,HK,Hong Kong,隧道,229 ms,88 Mbps,11264 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,16 Mbps,2091 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,239 ms,56 Mbps,7220 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,245 ms,2 Mbps,285 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,228 ms,35 Mbps,4494 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,193 ms,81 Mbps,10444 kB/s
8.219.192.7,443,8.222.213.200,SG,Singapore,隧道,237 ms,16 Mbps,2131 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,103 ms,41 Mbps,5359 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,95 ms,292 Mbps,37376 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,182 ms,33 Mbps,4280 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,235 ms,92 Mbps,11776 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,14 ms,87 Mbps,11161 kB/s
144.22.252.124,443,144.22.252.124,BR,S
