中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,50 ms,440 Mbps,56320 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,23 ms,3 Mbps,386 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,54 ms,508 Mbps,65126 kB/s
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,48 ms,558 Mbps,71475 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,421 Mbps,53964 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,423 Mbps,54169 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,808 Mbps,103424 kB/s
129.146.46.164,443,129.146.46.164,315 Mbps,40345 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,47 ms,357 Mbps,45772 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,62 ms,401 Mbps,51404 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,50 ms,435 Mbps,55705 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,190 Mbps,24371 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,44 Mbps,5716 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,180 Mbps,23142 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,204 Mbps,26112 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,35 Mbps,4590 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,152 ms,40 Mbps,5228 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,155 Mbps,19865 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,118 ms,48 Mbps,6147 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,33 Mbps,4341 kB/s
