中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:d5,US,Los Angeles,隧道,58 ms,61 Mbps,7908 kB/s
140.84.179.114,443,140.84.179.114,MX,Atlanta,中转,49 ms,435 Mbps,55705 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,327 Mbps,41881 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,28 ms,63 Mbps,8064 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,236 Mbps,30310 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,39 Mbps,5056 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,72 ms,320 Mbps,41062 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,386 Mbps,49459 kB/s
130.162.175.136,443,2606:f240:f00:6acf:0:fd4c:6069:6e52,US,Frankfurt,隧道,94 ms,233 Mbps,29900 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,237 Mbps,30412 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,78 ms,290 Mbps,37171 kB/s
35.197.23.75,443,35.212.152.202,US,Seattle,隧道,78 ms,310 Mbps,39731 kB/s
138.3.254.39,443,138.3.254.39,225 Mbps,28876 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,137 ms,590 Mbps,75571 kB/s
193.123.60.41,443,2a0b:21c0:1007:ca:0:caa6:e525:3c2a,DE,Frankfurt,隧道,89 ms,238 Mbps,30515 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,88 ms,141 Mbps,18124 kB/s
141.144.199.182,443,2a0b:21c0:100a:1f9:0:e8b4:a0ee:ba02,DE,Frankfurt,隧道,91 ms,232 Mbps,29798 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,23 ms,759 Mbps,97177 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,60 ms,348 Mbps,44544 kB/s
