中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:ed,US,Los Angeles,隧道,61 ms,92 Mbps,11878 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,559 Mbps,71577 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,41 ms,406 Mbps,52019 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,67 ms,333 Mbps,42700 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,83 ms,47 Mbps,6038 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,224 Mbps,28672 kB/s
129.146.46.164,443,129.146.46.164,237 Mbps,30412 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,75 ms,260 Mbps,33382 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,83 ms,305 Mbps,39116 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,69 ms,44 Mbps,5736 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,41 ms,541 Mbps,69324 kB/s
150.230.157.113,443,163.123.193.9,DE,Frankfurt,隧道,91 ms,239 Mbps,30617 kB/s
192.9.158.188,443,2a09:bac5:6447:1232::1d0:b2,US,San Jose,隧道,111 ms,188 Mbps,24166 kB/s
158.101.209.110,443,98.98.166.170,US,Frankfurt,隧道,89 ms,229 Mbps,29388 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,275 Mbps,35225 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,85 ms,252 Mbps,32256 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,201 Mbps,25804 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,160 ms,69 Mbps,8894 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,70 ms,317 Mbps,40652 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,73 ms,316 Mbps,40550 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,224 Mbps,28672 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,334 Mbps,42803 kB/s
193.123.188.254,443,2a0b:21c0:1007:1ca:0:fd3c:78ac:ba8,DE,Frankfurt,隧道,95 ms,195 Mbps,24985 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,78 ms,15 Mbps,1960 kB/s
158.101.203.144,443,2606:f240:f00:a683:0:165:b921:e7e0,US,Frankfurt,隧道,145 ms,222 Mbps,28467 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,70 ms,414 Mbps,53043 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,81 ms,241 Mbps,30924 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,83 ms,1 Mbps,217 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,92 ms,196 Mbps,25088 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,92 ms,196 Mbps,25088 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,74 ms,45 Mbps,5860 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,66 ms,276 Mbps,35430 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,148 ms,292 Mbps,37478 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,102 ms,612 Mbps,78336 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,174 ms,225 Mbps,28876 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,91 ms,42 Mbps,5410 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,187 ms,77 Mbps,9874 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,72 ms,97 Mbps,12492 kB/s
141.148.244.98,443,2a0b:21c0:1007:1ca:0:3d1b:f5b7:55ee,DE,Frankfurt,隧道,89 ms,224 Mbps,28672 kB/s
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,192 ms,79 Mbps,10137 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,104 Mbps,13414 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,100 ms,212 Mbps,27136 kB/s
141.148.228.28,443,2a0b:21c0:1007:c8:0:9b6c:54a:7fd4,DE,Frankfurt,隧道,268 ms,219 Mbps,28057 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,245 ms,67 Mbps,8666 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,113 ms,42 Mbps,5461 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,191 ms,27 Mbps,3505 kB/s
