中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,541 Mbps,69324 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,28 ms,720 Mbps,92262 kB/s
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,89 ms,307 Mbps,39321 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,358 Mbps,45875 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,53 ms,59 Mbps,7589 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,103 ms,202 Mbps,25907 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,9 ms,72 Mbps,9247 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,692 Mbps,88678 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,30 ms,37 Mbps,4788 kB/s
144.22.252.124,443,144.22.252.124,BR,S
