中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,21 ms,912 Mbps,116736 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,800 Mbps,102400 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,39 ms,592 Mbps,75878 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,524 Mbps,67174 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,17 ms,584 Mbps,74752 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,57 ms,337 Mbps,43212 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,39 ms,403 Mbps,51609 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,42 ms,572 Mbps,73216 kB/s
129.146.209.97,443,129.146.209.97,US,Paris,中转,9 ms,105 Mbps,13516 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,142 ms,140 Mbps,18022 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,133 ms,44 Mbps,5754 kB/s
141.147.117.4,443,2606:f240:f00:5a42:0:ed74:179f:b2c9,DE,Frankfurt,隧道,144 ms,133 Mbps,17100 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,137 ms,144 Mbps,18534 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,142 ms,170 Mbps,21811 kB/s
184.169.181.217,443,184.169.181.217,US,Warsaw,中转,19 ms,27 Mbps,3543 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,155 ms,36 Mbps,4620 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,147 ms,41 Mbps,5324 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,150 ms,39 Mbps,5097 kB/s
3.112.21.102,443,3.112.21.102,JP,Singapore,中转,114 ms,163 Mbps,20889 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,178 ms,37 Mbps,4788 kB/s
168.138.212.80,443,168.138.212.80,JP,Los Angeles,中转,109 ms,49 Mbps,6375 kB/s
168.138.46.67,443,168.138.46.67,JP,Singapore,中转,119 ms,45 Mbps,5842 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,192 ms,37 Mbps,4811 kB/s
129.146.46.164,443,129.146.46.164,US,Stockholm,中转,198 ms,148 Mbps,18944 kB/s
64.110.104.30,443,64.110.104.30,JP,Hong Kong,中转,129 ms,44 Mbps,5716 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Milan,隧道,133 ms,40 Mbps,5208 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,143 ms,39 Mbps,5081 kB/s
158.180.89.154,443,2602:ffe4:407:20d9:0:400:b01e:bdf0,SG,Marseille,隧道,196 ms,57 Mbps,7408 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1051 ms,229 Mbps,29388 kB/s
129.159.84.71,443,129.159.84.71,US,Riga,中转,147 ms,0 Mbps,125 kB/s
