中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,816 Mbps,104448 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,17 ms,6 Mbps,810 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,52 ms,544 Mbps,69632 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,51 ms,449 Mbps,57548 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,445 Mbps,57036 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,50 ms,6 Mbps,812 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,100 ms,499 Mbps,63897 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,435 Mbps,55705 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,66 ms,296 Mbps,37990 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,53 ms,391 Mbps,50073 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,212 Mbps,27238 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,60 ms,366 Mbps,46899 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,247 Mbps,31641 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,116 ms,44 Mbps,5675 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,107 ms,232 Mbps,29798 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,116 ms,46 Mbps,5923 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,182 Mbps,23347 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,40 Mbps,5207 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,153 ms,43 Mbps,5580 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,34 Mbps,4469 kB/s
