中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,848 Mbps,108544 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,21 ms,1192 Mbps,152576 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,42 ms,587 Mbps,75161 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,18 ms,944 Mbps,120832 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,45 ms,424 Mbps,54374 kB/s
129.146.46.164,443,129.146.46.164,384 Mbps,49152 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,43 ms,552 Mbps,70656 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1264 Mbps,161792 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,53 ms,435 Mbps,55705 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,37 ms,625 Mbps,80076 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,56 ms,5 Mbps,724 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,192 Mbps,24576 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,121 ms,41 Mbps,5336 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,43 Mbps,5538 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,121 ms,195 Mbps,24985 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,137 ms,42 Mbps,5428 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,143 ms,160 Mbps,20582 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,143 ms,42 Mbps,5408 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,142 ms,129 Mbps,16588 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,148 ms,128 Mbps,16486 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,159 ms,14 Mbps,1811 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,190 ms,90 Mbps,11571 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,181 ms,10 Mbps,1317 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,196 ms,47 Mbps,6071 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,147 ms,42 Mbps,5424 kB/s
