中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,8 ms,2408 Mbps,308224 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,24 ms,1048 Mbps,134144 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,27 ms,872 Mbps,111616 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,2 ms,374 Mbps,47923 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,912 Mbps,116736 kB/s
129.146.46.164,443,129.146.46.164,355 Mbps,45465 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,4 ms,2232 Mbps,285696 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,78 ms,5 Mbps,762 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,378 Mbps,48435 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,32 ms,411 Mbps,52633 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,46 Mbps,5988 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,22 ms,984 Mbps,125952 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,4 ms,1656 Mbps,211968 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,31 ms,677 Mbps,86732 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,200 Mbps,25702 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,155 ms,120 Mbps,15462 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,168 ms,43 Mbps,5543 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,154 ms,8 Mbps,1139 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,131 ms,40 Mbps,5232 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,122 Mbps,15667 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,136 Mbps,17510 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,125 ms,42 Mbps,5403 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,186 ms,97 Mbps,12492 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,186 ms,24 Mbps,3117 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,36 Mbps,4707 kB/s
