中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1968 Mbps,251904 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,25 ms,856 Mbps,109568 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,20 ms,464 Mbps,59494 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,26 ms,896 Mbps,114688 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,23 ms,1000 Mbps,128000 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,1 ms,548 Mbps,70246 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,29 ms,582 Mbps,74547 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,832 Mbps,106496 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,63 ms,285 Mbps,36556 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,67 ms,44 Mbps,5725 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,392 Mbps,50176 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,69 ms,286 Mbps,36659 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,66 ms,360 Mbps,46080 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,111 ms,23 Mbps,2951 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,115 ms,3 Mbps,454 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,212 Mbps,27238 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,135 ms,43 Mbps,5610 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,128 Mbps,16486 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,162 ms,128 Mbps,16384 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,136 ms,159 Mbps,20377 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,160 ms,41 Mbps,5362 kB/s
158.101.221.74,443,209.177.81.218,DE,Frankfurt,隧道,157 ms,111 Mbps,14233 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,173 ms,137 Mbps,17612 kB/s
152.70.52.84,443,2a0b:21c0:100a:1f9:0:d515:a04:b8c,DE,Frankfurt,隧道,173 ms,109 Mbps,14028 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,122 Mbps,15667 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,164 ms,41 Mbps,5332 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,183 ms,39 Mbps,5091 kB/s
143.47.252.169,443,2a0b:21c0:1007:c9:0:e74d:eac3:a282,DE,Frankfurt,隧道,180 ms,62 Mbps,7987 kB/s
146.56.146.67,443,2602:ffe4:407:21d9:0:beb0:479f:6780,SG,Singapore,隧道,209 ms,82 Mbps,10547 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,145 ms,21 Mbps,2694 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,174 ms,4 Mbps,554 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,185 ms,0 Mbps,18 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,157 ms,10 Mbps,1343 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,262 ms,0 Mbps,26 kB/s
