中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,227 Mbps,29081 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,8 ms,896 Mbps,114688 kB/s
141.144.199.182,443,2a0b:21c0:100a:1b3:0:ec89:1c0c:e10a,DE,Frankfurt,隧道,107 ms,224 Mbps,28672 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,44 ms,572 Mbps,73318 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,107 Mbps,13721 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,44 ms,525 Mbps,67276 kB/s
35.230.79.26,443,35.212.201.5,US,Seattle,隧道,92 ms,360 Mbps,46182 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,377 Mbps,48332 kB/s
129.146.46.164,443,129.146.46.164,316 Mbps,40550 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,84 ms,228 Mbps,29286 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,221 Mbps,28364 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,330 Mbps,42291 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,79 ms,352 Mbps,45158 kB/s
129.146.16.219,443,129.146.16.219,US,Dallas,中转,70 ms,47 Mbps,6101 kB/s
35.197.23.75,443,35.212.201.5,US,Seattle,隧道,86 ms,317 Mbps,40652 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,105 ms,45 Mbps,5796 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,66 ms,50 Mbps,6498 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,106 ms,28 Mbps,3708 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,111 ms,277 Mbps,35532 kB/s
193.123.37.219,443,2a0b:21c0:100a:1b2:0:8c9e:bd4e:3d0b,DE,Frankfurt,隧道,95 ms,232 Mbps,29696 kB/s
168.138.149.17,443,168.138.149.17,BR,S
