中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,3 ms,624 Mbps,79872 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,824 Mbps,105472 kB/s
35.197.23.75,443,35.212.161.210,US,Seattle,隧道,25 ms,864 Mbps,110592 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,10 ms,2304 Mbps,294912 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,28 ms,644 Mbps,82432 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::26a:b4,US,Los Angeles,隧道,19 ms,80 Mbps,10342 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,29 ms,800 Mbps,102400 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,9 ms,856 Mbps,109568 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,77 ms,32 Mbps,4107 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,33 ms,195 Mbps,24985 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,74 ms,373 Mbps,47820 kB/s
35.230.79.26,443,35.212.161.210,US,Seattle,隧道,29 ms,864 Mbps,110592 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,93 ms,364 Mbps,46694 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,200 Mbps,25702 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,79 ms,50 Mbps,6411 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,154 ms,121 Mbps,15564 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,154 ms,103 Mbps,13209 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,138 ms,1 Mbps,226 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,170 ms,110 Mbps,14131 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,150 ms,148 Mbps,18944 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,159 ms,30 Mbps,3954 kB/s
150.230.107.89,443,2607:a400:a:16b:0:e28f:560e:12a7,US,Los Angeles,隧道,123 ms,181 Mbps,23244 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,0 ms,47 Mbps,6036 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,151 ms,142 Mbps,18227 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,168 ms,184 Mbps,23654 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,131 ms,160 Mbps,20480 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,164 ms,43 Mbps,5513 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,180 ms,2 Mbps,281 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,118 ms,262 Mbps,33587 kB/s
141.147.49.215,443,2a0b:21c0:100a:1b3:0:c942:68bb:1c25,DE,Frankfurt,隧道,158 ms,131 Mbps,16793 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,152 Mbps,19558 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,174 ms,3 Mbps,423 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,41 Mbps,5265 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,167 ms,44 Mbps,5672 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,118 ms,164 Mbps,21094 kB/s
130.162.144.191,443,2a09:bac5:4734:155::22:13d,KR,Seoul,隧道,150 ms,42 Mbps,5440 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,188 ms,40 Mbps,5242 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,152 ms,43 Mbps,5600 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,200 ms,10 Mbps,1390 kB/s
141.148.224.54,443,2a0b:21c0:1007:cb:0:d7de:baca:b573,DE,Frankfurt,隧道,156 ms,112 Mbps,14336 kB/s
158.101.201.244,443,98.98.166.58,US,Frankfurt,隧道,155 ms,120 Mbps,15360 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,152 ms,41 Mbps,5362 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,237 ms,59 Mbps,7572 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,40 Mbps,5181 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,149 ms,9 Mbps,1183 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,174 ms,18 Mbps,2324 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,190 ms,37 Mbps,4758 kB/s
168.138.50.249,443,168.138.50.249,JP,San Jose,中转,171 ms,34 Mbps,4388 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,34 Mbps,4382 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,170 ms,1 Mbps,204 kB/s
