中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1248 Mbps,159744 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,18 ms,69 Mbps,8925 kB/s
35.230.79.26,443,35.212.151.84,US,Seattle,隧道,40 ms,484 Mbps,61952 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,26 ms,338 Mbps,43315 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,18 ms,564 Mbps,72192 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,556 Mbps,71270 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,60 ms,487 Mbps,62361 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:b4,US,Los Angeles,隧道,36 ms,107 Mbps,13721 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,17 ms,832 Mbps,106496 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,57 ms,47 Mbps,6043 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,60 ms,41 Mbps,5295 kB/s
34.82.76.253,443,34.127.98.139,US,Seattle,隧道,49 ms,465 Mbps,59596 kB/s
35.197.23.75,443,35.212.151.84,US,Seattle,隧道,54 ms,600 Mbps,76800 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,64 ms,285 Mbps,36556 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,120 ms,212 Mbps,27136 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,123 ms,22 Mbps,2917 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,125 ms,222 Mbps,28467 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,118 ms,42 Mbps,5399 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,148 Mbps,19046 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,162 ms,40 Mbps,5204 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,123 ms,37 Mbps,4806 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,164 ms,118 Mbps,15155 kB/s
130.162.144.191,443,2a09:bac5:4731:1482::20b:a3,KR,Seoul,隧道,148 ms,38 Mbps,4939 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,113 ms,144 Mbps,18432 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,143 ms,42 Mbps,5401 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,148 ms,123 Mbps,15769 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,148 ms,132 Mbps,16896 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,156 ms,50 Mbps,6476 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,147 ms,135 Mbps,17305 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,150 ms,184 Mbps,23552 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,151 ms,46 Mbps,5996 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,163 ms,47 Mbps,6036 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,157 ms,46 Mbps,5932 kB/s
150.230.113.116,443,98.98.156.30,DE,Frankfurt,隧道,169 ms,120 Mbps,15360 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,124 Mbps,15974 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,224 ms,41 Mbps,5339 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,181 ms,3 Mbps,402 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,201 ms,35 Mbps,4542 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,267 ms,53 Mbps,6797 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,157 ms,1 Mbps,197 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,191 ms,0 Mbps,28 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,143 ms,1 Mbps,165 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,210 ms,6 Mbps,811 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,167 ms,0 Mbps,51 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,238 ms,27 Mbps,3476 kB/s
