中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,52 ms,51 Mbps,6586 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,36 ms,603 Mbps,77209 kB/s
129.146.7.98,443,2a09:bac5:60eb:1846::26b:1b,US,Los Angeles,隧道,27 ms,52 Mbps,6672 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,21 ms,633 Mbps,81100 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,60 ms,645 Mbps,82636 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,34 ms,1248 Mbps,159744 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,18 ms,674 Mbps,86323 kB/s
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,17 ms,256 Mbps,32768 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,500 Mbps,64102 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,32 ms,59 Mbps,7631 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,65 ms,318 Mbps,40755 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,27 ms,796 Mbps,101990 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,38 ms,56 Mbps,7250 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,92 ms,341 Mbps,43724 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,318 Mbps,40755 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,20 ms,808 Mbps,103424 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,67 ms,450 Mbps,57651 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,53 ms,50 Mbps,6423 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,163 ms,173 Mbps,22220 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,53 ms,606 Mbps,77619 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,216 Mbps,27750 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,140 ms,152 Mbps,19456 kB/s
