中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,357 Mbps,45772 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,9 ms,1968 Mbps,251904 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,41 ms,643 Mbps,82329 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:42,US,Los Angeles,隧道,30 ms,77 Mbps,9944 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,36 ms,741 Mbps,94924 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,26 ms,58 Mbps,7509 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,34 ms,824 Mbps,105472 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,2 ms,904 Mbps,115712 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,80 ms,466 Mbps,59699 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,600 Mbps,76800 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,632 Mbps,80896 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,832 Mbps,106496 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,20 ms,67 Mbps,8626 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,83 ms,273 Mbps,35020 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,276 Mbps,35430 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,128 ms,228 Mbps,29184 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,70 ms,468 Mbps,59904 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,80 ms,45 Mbps,5876 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,154 ms,167 Mbps,21401 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,173 ms,122 Mbps,15667 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,140 ms,128 Mbps,16486 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,109 Mbps,14028 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,161 ms,40 Mbps,5196 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,169 ms,40 Mbps,5123 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,117 ms,0 Mbps,80 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,76 ms,47 Mbps,6131 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,37 Mbps,4863 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,205 ms,2 Mbps,377 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,178 ms,46 Mbps,5912 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,146 Mbps,18739 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,173 ms,119 Mbps,15257 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,154 ms,162 Mbps,20787 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,169 ms,43 Mbps,5612 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,163 ms,45 Mbps,5781 kB/s
130.162.144.191,443,2a09:bac1:3f00::20b:53,KR,Seoul,隧道,165 ms,43 Mbps,5582 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,197 ms,155 Mbps,19865 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,175 ms,44 Mbps,5724 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,178 ms,34 Mbps,4378 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,181 ms,41 Mbps,5255 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,169 ms,42 Mbps,5408 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,162 ms,2 Mbps,332 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,178 ms,39 Mbps,4994 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,146 ms,125 Mbps,16076 kB/s
168.138.149.17,443,168.138.149.17,BR,S
