中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,1 ms,7 Mbps,939 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,848 Mbps,108544 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,68 ms,284 Mbps,36352 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,263 Mbps,33689 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,54 ms,394 Mbps,50483 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,257 Mbps,32972 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,84 Mbps,10854 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,73 ms,436 Mbps,55808 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,79 ms,380 Mbps,48640 kB/s
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,70 ms,347 Mbps,44441 kB/s
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,75 ms,369 Mbps,47308 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,465 Mbps,59596 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,256 Mbps,32870 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,71 ms,311 Mbps,39833 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,78 ms,362 Mbps,46387 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,48 Mbps,6162 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,42 Mbps,5473 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,171 ms,112 Mbps,14438 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,43 Mbps,5551 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,121 Mbps,15564 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,33 Mbps,4339 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,195 ms,40 Mbps,5177 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,282 ms,2 Mbps,367 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,217 ms,88 Mbps,11264 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,246 ms,4 Mbps,515 kB/s
