中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,722 Mbps,92467 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,28 ms,44 Mbps,5691 kB/s
35.230.79.26,443,35.212.173.150,US,Seattle,隧道,51 ms,512 Mbps,65638 kB/s
35.197.23.75,443,35.212.173.150,US,Seattle,隧道,47 ms,533 Mbps,68300 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,52 ms,416 Mbps,53350 kB/s
129.146.46.164,443,129.146.46.164,US,318 Mbps,40755 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,39 ms,512 Mbps,65536 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,51 ms,308 Mbps,39526 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,37 ms,7 Mbps,952 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,367 Mbps,47001 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,524 Mbps,67072 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,66 ms,275 Mbps,35225 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,226 Mbps,28979 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,180 Mbps,23040 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,168 Mbps,21606 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,115 ms,46 Mbps,5977 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,120 ms,44 Mbps,5715 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,134 ms,44 Mbps,5750 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,137 ms,164 Mbps,21094 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,145 ms,40 Mbps,5210 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,148 ms,41 Mbps,5328 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,147 ms,38 Mbps,4909 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,190 ms,38 Mbps,4907 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,186 ms,34 Mbps,4447 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,196 ms,33 Mbps,4348 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,124 ms,47 Mbps,6045 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,206 ms,10 Mbps,1375 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,211 ms,12 Mbps,1647 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,228 ms,38 Mbps,4965 kB/s
141.148.224.123,443,2606:f240:f00:6f50:0:755f:bdb7:58ea,DE,Salt Lake City,隧道,110 ms,5 Mbps,681 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,178 ms,24 Mbps,3136 kB/s
