中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,1536 Mbps,196608 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,352 Mbps,45158 kB/s
138.2.234.77,443,138.2.234.77,US,San Jose,中转,57 ms,80 Mbps,10240 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,58 ms,1648 Mbps,210944 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,52 ms,1304 Mbps,166912 kB/s
35.197.23.75,443,34.127.85.35,US,Seattle,隧道,41 ms,864 Mbps,110592 kB/s
47.254.42.167,443,47.251.149.48,US,San Jose,隧道,80 ms,11 Mbps,1456 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,19 ms,685 Mbps,87756 kB/s
129.146.46.164,443,129.146.46.164,US,324 Mbps,41574 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,48 ms,1568 Mbps,200704 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,55 ms,1408 Mbps,180224 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,660 Mbps,84582 kB/s
47.88.93.96,443,47.251.149.51,US,San Jose,隧道,34 ms,3 Mbps,458 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,65 ms,58 Mbps,7494 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,35 ms,199 Mbps,25497 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,60 ms,79 Mbps,10137 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,Los Angeles,隧道,0 ms,1 Mbps,241 kB/s
35.230.79.26,443,34.127.85.35,US,Seattle,隧道,45 ms,781 Mbps,100044 kB/s
47.242.83.97,443,47.242.83.97,HK,Hong Kong,中转,147 ms,29 Mbps,3828 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,66 ms,320 Mbps,41062 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,82 ms,38 Mbps,4956 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,23 ms,262 Mbps,33587 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,640 Mbps,81920 kB/s
