中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,2 ms,1832 Mbps,234496 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,25 ms,453 Mbps,58060 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,22 ms,454 Mbps,58163 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,670 Mbps,85811 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,383 Mbps,49049 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,920 Mbps,117760 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,22 ms,896 Mbps,114688 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,367 Mbps,47001 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,76 ms,5 Mbps,728 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,126 ms,43 Mbps,5624 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,41 Mbps,5338 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,195 Mbps,24985 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,145 ms,40 Mbps,5164 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,109 Mbps,14028 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,42 Mbps,5472 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,144 Mbps,18432 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,152 ms,114 Mbps,14643 kB/s
150.230.107.89,443,2602:ffe4:407:20d9:0:436f:8bf8:ddad,SG,Singapore,隧道,178 ms,95 Mbps,12185 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,23 Mbps,2964 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,177 ms,9 Mbps,1210 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,47 Mbps,6032 kB/s
