中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.168.231.76,US,Seattle,隧道,24 ms,816 Mbps,104448 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,1232 Mbps,157696 kB/s
129.146.7.98,443,2a09:bac5:60e9:78::c:366,US,Los Angeles,隧道,19 ms,77 Mbps,9857 kB/s
35.197.23.75,443,35.212.162.172,US,Seattle,隧道,24 ms,646 Mbps,82739 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,840 Mbps,107520 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,67 ms,46 Mbps,5924 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,644 Mbps,82432 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,64 ms,360 Mbps,46080 kB/s
35.230.79.26,443,35.212.162.172,US,Seattle,隧道,25 ms,785 Mbps,100556 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Ashburn,隧道,19 ms,48 Mbps,6180 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,71 ms,373 Mbps,47820 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,164 ms,120 Mbps,15360 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,74 ms,320 Mbps,40960 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,153 ms,121 Mbps,15564 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,107 ms,3 Mbps,494 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,130 ms,144 Mbps,18432 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,133 ms,171 Mbps,21913 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,238 Mbps,30515 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,155 ms,114 Mbps,14643 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,166 ms,41 Mbps,5360 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,136 Mbps,17408 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,131 ms,43 Mbps,5557 kB/s
143.47.176.251,443,2a0b:21c0:1007:1c9:0:c3db:6fbd:c07e,DE,Frankfurt,隧道,159 ms,113 Mbps,14540 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,38 Mbps,4981 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,177 ms,3 Mbps,397 kB/s
152.70.52.84,443,2a0b:21c0:1007:1ca:0:ff92:92e2:5000,DE,Frankfurt,隧道,164 ms,136 Mbps,17408 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,112 ms,49 Mbps,6292 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,155 ms,48 Mbps,6242 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,163 ms,48 Mbps,6196 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,143 ms,41 Mbps,5350 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,157 ms,45 Mbps,5788 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,165 ms,43 Mbps,5570 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,166 ms,3 Mbps,509 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,171 ms,43 Mbps,5535 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,160 ms,2 Mbps,321 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,214 ms,0 Mbps,63 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1032 ms,242 Mbps,31027 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,274 ms,20 Mbps,2661 kB/s
8.219.95.212,443,8.222.240.96,SG,Singapore,隧道,267 ms,2 Mbps,320 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,158 ms,0 Mbps,3 kB/s
