中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,28 ms,764 Mbps,97792 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,31 ms,348 Mbps,44646 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,6 ms,1464 Mbps,187392 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,984 Mbps,125952 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,19 ms,456 Mbps,58470 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,25 ms,960 Mbps,122880 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,648 Mbps,82944 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,10 ms,1304 Mbps,166912 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,6 ms,683 Mbps,87449 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,31 ms,968 Mbps,123904 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,79 ms,4 Mbps,614 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,54 ms,348 Mbps,44544 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,208 Mbps,26726 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,51 Mbps,6605 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,47 Mbps,6133 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,163 ms,137 Mbps,17612 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,49 Mbps,6314 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,162 ms,46 Mbps,5893 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,158 ms,12 Mbps,1622 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,164 ms,126 Mbps,16179 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,144 Mbps,18534 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,192 ms,51 Mbps,6617 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,159 ms,41 Mbps,5270 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,185 ms,46 Mbps,5981 kB/s
