中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,118 Mbps,15155 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,856 Mbps,109568 kB/s
35.230.79.26,443,35.212.133.201,US,Seattle,隧道,38 ms,920 Mbps,117760 kB/s
35.197.23.75,443,35.212.133.201,US,Seattle,隧道,22 ms,1016 Mbps,130048 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,33 ms,872 Mbps,111616 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,101 ms,308 Mbps,39526 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,126 ms,42 Mbps,5495 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,34 ms,694 Mbps,88883 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,65 ms,51 Mbps,6533 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,64 ms,51 Mbps,6591 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,364 Mbps,46694 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,107 ms,5 Mbps,648 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,69 ms,317 Mbps,40652 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,46 Mbps,5988 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,117 ms,47 Mbps,6102 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,84 ms,375 Mbps,48025 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,205 Mbps,26316 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,161 ms,139 Mbps,17817 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,181 ms,39 Mbps,5009 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,207 ms,38 Mbps,4944 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,162 ms,40 Mbps,5217 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,123 ms,41 Mbps,5359 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,149 ms,27 Mbps,3567 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,154 ms,74 Mbps,9550 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,135 ms,41 Mbps,5258 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,150 ms,34 Mbps,4363 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,198 ms,38 Mbps,4891 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,165 ms,32 Mbps,4175 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,136 ms,173 Mbps,22220 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,152 ms,4 Mbps,549 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,128 Mbps,16486 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,187 ms,48 Mbps,6177 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,173 ms,3 Mbps,454 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,192 ms,152 Mbps,19456 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:a5,KR,Seoul,隧道,149 ms,1 Mbps,147 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,193 ms,123 Mbps,15769 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,158 ms,47 Mbps,6126 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,246 ms,90 Mbps,11571 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,191 ms,4 Mbps,552 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,236 ms,28 Mbps,3654 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,258 ms,27 Mbps,3497 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,385 ms,0 Mbps,12 kB/s
