中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,613 Mbps,78540 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,67 ms,207 Mbps,26521 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,76 ms,350 Mbps,44851 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,6 ms,86 Mbps,11059 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,33 ms,22 Mbps,2838 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,80 ms,273 Mbps,35020 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,536 Mbps,68608 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,412 Mbps,52736 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,107 ms,236 Mbps,30208 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,292 Mbps,37376 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,72 ms,378 Mbps,48435 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,93 ms,273 Mbps,35020 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,70 ms,320 Mbps,41062 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,90 ms,47 Mbps,6131 kB/s
144.22.252.124,443,144.22.252.124,BR,S
