中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,8 ms,1816 Mbps,232448 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,26 ms,960 Mbps,122880 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,24 ms,693 Mbps,88780 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,24 ms,465 Mbps,59596 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,8 ms,1048 Mbps,134144 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,62 ms,10 Mbps,1338 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,4 ms,618 Mbps,79155 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,716 Mbps,91648 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,22 ms,952 Mbps,121856 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,4 ms,1440 Mbps,184320 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,574 Mbps,73523 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,67 ms,293 Mbps,37580 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,17 ms,135 Mbps,17305 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,71 ms,376 Mbps,48230 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,224 Mbps,28672 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,116 ms,48 Mbps,6212 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,343 Mbps,43929 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,105 ms,36 Mbps,4620 kB/s
152.70.242.38,443,132.226.226.133,KR,Seoul,隧道,149 ms,144 Mbps,18534 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,140 ms,45 Mbps,5799 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,129 Mbps,16588 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,159 ms,42 Mbps,5464 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,130 Mbps,16691 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,160 ms,45 Mbps,5782 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,155 ms,143 Mbps,18329 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,157 ms,41 Mbps,5359 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,154 ms,142 Mbps,18227 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,152 ms,22 Mbps,2875 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,163 ms,116 Mbps,14950 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,420 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,163 ms,42 Mbps,5390 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,182 ms,76 Mbps,9752 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,179 ms,27 Mbps,3543 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,167 ms,42 Mbps,5435 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,168 ms,0 Mbps,2 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,354 ms,0 Mbps,20 kB/s
