中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,616 Mbps,78848 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,48 ms,279 Mbps,35737 kB/s
35.197.23.75,443,35.212.193.165,US,Seattle,隧道,23 ms,521 Mbps,66764 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,6 ms,872 Mbps,111616 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,22 ms,727 Mbps,93081 kB/s
35.230.79.26,443,35.212.193.165,US,Seattle,隧道,27 ms,733 Mbps,93900 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,348 Mbps,44544 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,192 Mbps,24678 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,63 ms,48 Mbps,6256 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,68 ms,352 Mbps,45056 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,260 Mbps,33280 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,72 ms,332 Mbps,42496 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,91 ms,428 Mbps,54784 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,113 ms,5 Mbps,690 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,71 ms,45 Mbps,5880 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,44 Mbps,5643 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,153 ms,136 Mbps,17510 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,181 ms,3 Mbps,417 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,169 ms,41 Mbps,5291 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,122 Mbps,15667 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,134 ms,43 Mbps,5613 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,139 ms,156 Mbps,19968 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,138 Mbps,17715 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,147 ms,45 Mbps,5836 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,166 ms,38 Mbps,4983 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,156 ms,40 Mbps,5211 kB/s
130.162.144.191,443,2a09:bac1:3f20::22:11c,KR,Seoul,隧道,139 ms,42 Mbps,5478 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,152 ms,155 Mbps,19865 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,168 ms,112 Mbps,14438 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,186 ms,38 Mbps,4893 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,166 ms,141 Mbps,18124 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,158 ms,39 Mbps,5098 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,190 ms,40 Mbps,5211 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,188 ms,35 Mbps,4503 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,198 ms,33 Mbps,4286 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,175 ms,41 Mbps,5269 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,176 ms,44 Mbps,5666 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,176 ms,3 Mbps,501 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,238 ms,74 Mbps,9513 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,146 ms,5 Mbps,739 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,167 ms,39 Mbps,5088 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,220 ms,37 Mbps,4792 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1005 ms,81 Mbps,10444 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,279 ms,21 Mbps,2788 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,162 ms,1 Mbps,131 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,401 ms,0 Mbps,9 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,0 ms,32 Mbps,4105 kB/s
