中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,97 ms,46 Mbps,5916 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,96 ms,355 Mbps,45465 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,544 Mbps,69632 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,82 ms,338 Mbps,43315 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,31 ms,719 Mbps,92057 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,305 Mbps,39116 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,290 Mbps,37171 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,665 Mbps,85196 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,407 Mbps,52121 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,297 Mbps,38092 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,73 ms,274 Mbps,35123 kB/s
141.144.199.182,443,2a0b:21c0:1007:1ca:0:a048:74a4:3c14,DE,Frankfurt,隧道,91 ms,223 Mbps,28569 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,71 ms,44 Mbps,5640 kB/s
129.159.222.164,443,2a0b:21c0:100a:1fa:0:da44:1eeb:3969,DE,Frankfurt,隧道,93 ms,291 Mbps,37273 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,81 ms,286 Mbps,36659 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,12 ms,24 Mbps,3182 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,309 Mbps,39628 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,99 ms,404 Mbps,51814 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,98 ms,44 Mbps,5751 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,117 ms,232 Mbps,29798 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,11 ms,5 Mbps,674 kB/s
141.147.105.212,443,98.98.156.22,DE,Frankfurt,隧道,102 ms,114 Mbps,14643 kB/s
130.162.215.254,443,2a0b:21c0:100a:1b3:0:feaf:f7dc:1dee,DE,Frankfurt,隧道,104 ms,263 Mbps,33689 kB/s
193.123.60.41,443,2a0b:21c0:1007:1c9:0:a165:eec7:f308,DE,Frankfurt,隧道,100 ms,233 Mbps,29900 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,76 ms,115 Mbps,14745 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,101 ms,178 Mbps,22835 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,105 ms,223 Mbps,28569 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,60 ms,47 Mbps,6053 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,111 ms,43 Mbps,5625 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,65 ms,22 Mbps,2830 kB/s
138.2.227.164,443,138.2.227.164,US,San Jose,中转,72 ms,286 Mbps,36659 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,84 ms,269 Mbps,34508 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,35 ms,62 Mbps,8026 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,74 ms,7 Mbps,1023 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,110 ms,204 Mbps,26214 kB/s
144.22.252.124,443,144.22.252.124,BR,S
